timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV
164426.7392,327549.8438,-6.817474365,5.374027729,-4.304009438,-0.351145029,0.061068702,-1.007633567,319.0606995,2767,1405.128174,-1,218.75
164426.7469,327557.6563,-6.771992683,5.414721489,-4.265708923,-0.732824445,0,-0.702290058,318.9080505,2768,1403.662964,-1,218.75
164426.752,327565.4688,-6.783961773,5.443447113,-4.260921478,-0.274809152,0.061068702,-0.671755731,318.9080505,2768,1402.93042,-1,218.75
164426.7662,327573.2813,-6.762417793,5.455415726,-4.258527756,0,-0.290076345,-0.595419824,318.9080505,2768,1401.46521,-1,218.75
164426.7677,327581.0938,-6.755236149,5.438659668,-4.256134033,-0.076335877,-0.366412222,-0.595419824,319.0606995,2767,1402.197754,-1,218.75
164426.778,327588.9063,-6.71214819,5.441053391,-4.251346588,-0.24427481,-0.24427481,-0.885496199,318.9080505,2768,1400.732544,-1,218.75
164426.7878,327596.7188,-6.726511002,5.417115688,-4.282465458,-0.564885497,-0.213740453,-1.02290082,319.0606995,2767,1399.267456,-1,218.75
164426.7891,327604.5313,-6.731298447,5.419509411,-4.282465458,-0.48854962,-0.167938933,-1.603053451,318.9080505,2768,1396.337036,-1,218.75
164426.7992,327612.3438,-6.764811516,5.383602619,-4.280071735,-0.48854962,0.122137405,-1.46564889,318.9080505,2768,1393.406616,-1,218.75
164426.8031,327620.1563,-6.791142941,5.369239807,-4.268103123,-0.503816783,0.167938933,-1.419847369,318.9080505,2768,1392.67395,-1,218.75
164426.8146,327627.9688,-6.800718307,5.354877472,-4.28725338,-0.091603056,-0.091603056,-1.312977076,318.9080505,2768,1391.20874,-1,218.75
164426.8268,327635.7813,-6.798324585,5.357271194,-4.330341339,0.183206111,0.137404576,-0.992366433,318.9080505,2768,1391.20874,-1,218.75
164426.8318,327643.5938,-6.78156805,5.366846085,-4.323159695,0.320610672,0.290076345,-0.931297719,318.9080505,2768,1390.476196,-1,218.75
164426.8404,327651.4063,-6.752842426,5.397965431,-4.342309952,0.335877866,0.702290058,-0.793893158,318.7555847,2769,1392.67395,-1,218.75
164426.8417,327659.2188,-6.726511002,5.393177509,-4.349491119,-0.076335877,0.641221344,-0.870229006,318.9080505,2768,1394.13916,-1,218.75
