Stamp,GSR
2065,692
2066,681
2067,680
2068,693
2069,687
2070,684
2071,681
2072,685
2073,684
2074,684
2075,681
2076,684
2077,685
2078,690
2079,690
2080,683
2081,686
2082,682
2083,688
2084,682
2085,682
2086,685
2087,689
2088,682
2089,683
2090,689
2091,691
2092,693
2093,676
2094,679
2095,684
2096,680
2097,684
2098,688
2099,680
2100,690
2101,689
2102,680
2103,685
2104,689
2105,689
2106,689
2107,685
2108,680
2109,690
2110,686
2111,687
2112,684
2113,690
2114,698
2115,679
2116,682
2117,683
2118,692
2119,682
2120,685
2121,686
2122,689
2123,687
2124,679
2125,681
2126,679
2127,682
2128,683
2129,683
2130,681
2131,688
2132,690
2133,683
2134,686
2135,691
2136,678
2137,680
2138,678
2139,685
2140,692
2141,687
2142,676
2143,690
2144,681
2145,686
2146,688
2147,688
2148,682
2149,687
2150,688
2151,679
2152,690
2153,690
2154,680
2155,688
2156,685
2157,684
2158,684
2159,692
2160,687
2161,681
2162,683
2163,684
2164,682
2165,681
2166,686
2167,693
2168,687
2169,689
2170,686
2171,684
2172,690
2173,686
2174,688
2175,687
2176,690
2177,691
2178,693
2179,687
2180,679
2181,684
2182,679
2183,688
2184,685
2185,689
2186,686
2187,686
2188,684
2189,692
2190,683
2191,685
2192,676
2193,683
2194,685
2195,692
2196,682
2197,686
2198,689
2199,682
2200,688
2201,688
2202,683
2203,691
2204,693
2205,684
2206,688
2207,687
2208,687
2209,689
2210,682
2211,684
2212,678
2213,686
2214,685
2215,689
2216,679
2217,679
2218,682
2219,680
2220,691
2221,685
2222,686
2223,688
2224,685
2225,682
2226,691
2227,690
2228,695
2229,689
2230,690
2231,688
2232,692
2233,685
2234,685
2235,696
2236,682
2237,691
2238,688
2239,688
2240,684
2241,685
2242,688
2243,692
2244,691
2245,681
2246,685
2247,686
2248,691
2249,680
2250,686
2251,685
2252,689
2253,693
2254,688
2255,685
2256,690
2257,684
2258,689
2259,692
2260,677
2261,690
2262,687
2263,687
2264,694
2265,681
2266,694
2267,681
2268,686
2269,697
2270,690
2271,695
2272,695
2273,687
2274,684
2275,693
2276,688
2277,688
2278,683
2279,694
2280,688
2281,687
2282,686
2283,687
2284,690
2285,685
2286,697
2287,687
2288,687
2289,685
2290,683
2291,685
2292,686
2293,694
2294,687
2295,686
2296,689
2297,682
2298,686
2299,687
2300,683
2301,693
2302,695
2303,688
2304,687
2305,689
2306,684
2307,684
2308,694
2309,690
2310,687
2311,687
2312,682
2313,682
2314,687
2315,688
2316,687
2317,684
2318,687
2319,690
2320,685
2321,682
2322,687
2323,688
2324,682
2325,683
2326,689
2327,689
2328,688
2329,694
2330,680
2331,683
2332,688
2333,692
2334,685
2335,693
2336,682
2337,692
2338,685
2339,690
2340,684
2341,688
2342,690
2343,684
2344,691
2345,687
2346,688
2347,690
2348,687
2349,679
2350,683
2351,684
2352,686
2353,689
2354,692
2355,688
2356,687
2357,679
2358,696
2359,683
2360,693
2361,688
2362,681
2363,694
2364,687
2365,680
2366,692
2367,688
2368,692
2369,687
2370,685
2371,692
2372,690
2373,688
2374,689
2375,687
2376,686
2377,687
2378,681
2379,684
2380,682
2381,694
2382,692
2383,682
2384,694
2385,691
2386,686
2387,691
2388,693
2389,688
2390,690
2391,694
2392,690
2393,692
2394,686
2395,689
2396,694
2397,697
2398,691
2399,690
2400,684
2401,693
2402,687
2403,689
2404,688
2405,690
2406,689
2407,688
2408,691
2409,689
2410,685
2411,689
2412,682
2413,689
2414,689
2415,690
2416,685
2417,689
2418,683
2419,691
2420,688
2421,688
2422,681
2423,685
2424,681
2425,686
2426,681
2427,685
2428,684
2429,692
2430,686
2431,692
2432,692
2433,688
2434,695
2435,683
2436,688
2437,693
2438,684
2439,692
2440,686
2441,694
2442,692
2443,683
2444,687
2445,693
2446,693
2447,687
2448,688
2449,691
2450,683
2451,693
2452,698
2453,685
2454,689
2455,681
2456,682
2457,681
2458,680
2459,692
2460,688
2461,687
2462,686
2463,681
2464,692
2465,688
2466,689
2467,690
2468,688
2469,693
2470,679
2471,690
2472,685
2473,690
2474,692
2475,687
2476,688
2477,684
2478,683
2479,685
2480,687
2481,691
2482,685
2483,680
2484,689
2485,681
2486,697
2487,692
2488,684
2489,693
2490,689
2491,694
2492,689
2493,683
2494,679
2495,686
2496,685
2497,691
2498,681
2499,693
2500,693
2501,687
2502,691
2503,693
2504,695
2505,690
2506,696
2507,694
2508,691
2509,691
2510,688
2511,691
2512,682
2513,688
2514,683
2515,695
2516,689
2517,694
2518,692
2519,693
2520,690
2521,691
2522,688
2523,691
2524,688
2525,687
2526,690
2527,693
2528,691
2529,692
2530,692
2531,690
2532,692
2533,693
2534,688
2535,682
2536,688
2537,691
2538,690
2539,684
2540,690
2541,686
2542,686
2543,682
2544,685
2545,685
2546,695
2547,690
2548,687
2549,691
2550,702
2551,687
2552,688
2553,687
2554,690
2555,687
2556,678
2557,692
2558,689
2559,691
2560,684
2561,694
2562,686
2563,687
2564,689
2565,690
2566,692
2567,689
2568,685
2569,683
2570,698
2571,693
2572,691
2573,682
2574,690
2575,692
2576,698
2577,687
2578,700
2579,698
2580,687
2581,688
2582,691
2583,688
2584,692
2585,691
2586,691
2587,693
2588,694
2589,683
2590,689
2591,682
2592,686
2593,688
2594,691
2595,690
2596,691
2597,690
2598,688
2599,687
2600,691
2601,685
2602,686
2603,694
2604,690
2605,689
2606,687
2607,700
2608,680
2609,689
2610,692
2611,690
2612,696
2613,692
2614,687
2615,680
2616,685
2617,692
2618,691
2619,690
2620,696
2621,694
2622,696
2623,696
2624,685
2625,688
2626,692
2627,688
2628,694
2629,688
2630,698
2631,691
2632,685
2633,690
2634,691
2635,697
2636,688
2637,681
2638,695
2639,688
2640,696
2641,683
2642,679
2643,688
2644,691
2645,689
2646,690
2647,697
2648,699
2649,690
2650,681
2651,685
2652,686
2653,686
2654,691
2655,689
2656,690
2657,691
2658,689
2659,687
2660,694
2661,692
2662,690
2663,690
2664,686
2665,684
2666,684
2667,693
2668,693
2669,685
2670,690
2671,690
2672,692
2673,692
2674,697
2675,689
2676,690
2677,691
2678,692
2679,688
2680,696
2681,694
2682,685
2683,694
2684,688
2685,696
2686,694
2687,691
2688,685
2689,693
2690,686
2691,683
2692,700
2693,695
2694,693
2695,688
2696,689
2697,693
2698,683
2699,688
2700,685
2701,700
2702,685
2703,695
2704,687
2705,688
2706,688
2707,693
2708,687
2709,688
2710,687
2711,686
2712,689
2713,691
2714,689
2715,693
2716,697
2717,689
2718,697
2719,693
2720,687
2721,682
2722,693
2723,692
2724,684
2725,684
2726,688
2727,686
2728,687
2729,692
2730,689
2731,683
2732,692
2733,687
2734,686
2735,688
2736,695
2737,690
2738,696
2739,687
2740,681
2741,695
2742,688
2743,696
2744,687
2745,691
2746,687
2747,693
2748,687
2749,688
2750,689
2751,694
2752,683
2753,691
2754,685
2755,687
2756,691
2757,683
2758,692
2759,693
2760,689
2761,686
2762,695
2763,683
2764,687
2765,686
2766,685
2767,691
2768,684
2769,688
2770,688
2771,689
2772,691
2773,685
2774,687
2775,692
2776,689
2777,694
2778,690
2779,688
2780,692
2781,686
2782,686
2783,685
2784,694
2785,686
2786,691
2787,690
2788,697
2789,684
2790,692
2791,682
2792,693
2793,693
2794,690
2795,695
2796,688
2797,680
2798,693
2799,686
2800,688
2801,688
2802,698
2803,683
2804,685
2805,685
2806,691
2807,685
2808,687
2809,686
2810,688
2811,684
2812,698
2813,687
2814,686
2815,686
2816,688
2817,678
2818,691
2819,691
2820,683
2821,685
2822,694
2823,687
2824,687
2825,682
2826,689
2827,689
2828,690
2829,686
2830,689
2831,694
2832,694
2833,688
2834,689
2835,693
2836,694
2837,686
2838,687
2839,692
2840,692
2841,681
2842,690
2843,683
2844,689
2845,683
2846,681
2847,688
2848,689
2849,683
2850,688
2851,694
2852,688
2853,691
2854,682
2855,683
2856,693
2857,696
2858,687
2859,694
2860,685
2861,682
2862,678
2863,688
2864,689
2865,694
2866,688
2867,689
2868,685
2869,687
2870,693
2871,688
2872,682
2873,686
2874,691
2875,690
2876,683
2877,681
2878,685
2879,691
2880,689
2881,685
2882,686
2883,687
2884,684
2885,685
2886,690
2887,680
2888,688
2889,689
2890,686
2891,689
2892,681
2893,685
2894,691
2895,688
2896,687
2897,686
2898,690
2899,687
2900,682
2901,689
2902,687
2903,681
2904,690
2905,690
2906,684
2907,687
2908,689
2909,689
2910,686
2911,688
2912,693
2913,697
2914,689
2915,691
2916,691
2917,690
2918,695
2919,690
2920,682
2921,689
2922,686
2923,678
2924,684
2925,687
2926,691
2927,691
2928,693
2929,690
2930,687
2931,690
2932,688
2933,692
2934,690
2935,682
2936,686
2937,682
2938,690
2939,688
2940,689
2941,686
2942,694
2943,677
2944,688
2945,688
2946,679
2947,682
2948,683
2949,686
2950,693
2951,686
2952,686
2953,688
2954,693
2955,685
2956,684
2957,685
2958,692
2959,679
2960,682
2961,677
2962,694
2963,682
2964,686
2965,685
2966,692
2967,689
2968,689
2969,686
2970,689
2971,685
2972,685
2973,687
2974,683
2975,693
2976,688
2977,692
2978,685
2979,693
2980,686
2981,686
2982,690
2983,690
2984,684
2985,691
2986,697
2987,688
2988,686
2989,683
2990,698
2991,691
